koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CANDIDATE,11.8299383,0.502,5.168,4.14E+01,1.6,0.1128,1177,453.44,11.7,5747,3.802,2.431,12.327
FALSE POSITIVE,419.92898,0.0299,14.55,2.34E+02,1.51,1.0835,255,1,7.5,6047,4.431,0.988,14.755
FALSE POSITIVE,1.23521458,0.458,0.918,8.95E+01,0.93,0.0229,1713,2032.78,5,5999,4.494,0.959,15.637
FALSE POSITIVE,1.085229874,0.439,0.652,2.38E+02,1.37,0.0203,1632,1675.45,7.6,5713,4.554,0.851,15.959
FALSE POSITIVE,1.540379557,0.329,2.026,7.69E+01,0.81,0.024,1581,1481.09,14.6,5812,4.408,0.914,14.298
CANDIDATE,5.30179786,0.357,2.24,1.97E+02,1.22,0.0587,973,211.8,11.5,5749,4.547,0.864,15.466
CONFIRMED,3.60011712,0.025,2.396,5.02E+01,0.5,0.0407,938,182.81,21.6,5051,4.562,0.721,8.717
CONFIRMED,9.32867952,0.035,1.572,3.54E+02,1.62,0.0856,806,99.6,12.7,5749,4.547,0.864,15.466
CONFIRMED,6.38671206,0.015,1.201,2.24E+02,1.19,0.0617,811,102.25,11.6,5071,4.505,0.811,14.58
FALSE POSITIVE,158.348345,3.655,10.55,8.99E+02,372.86,0.6312,409,6.61,17.6,6521,4.352,1.276,15.028
CANDIDATE,0.849362238,0.453,1.36,1.15E+02,0.85,0.0169,1498,1190.04,11.9,4973,4.595,0.788,15.357
CANDIDATE,0.741768294,1.201,0.4164,6.03E+01,72.36,0.0186,3380,30981.32,14,5897,3.637,3.147,13.469
FALSE POSITIVE,0.93376962,1.142,7.023,1.26E+02,16.3,0.0185,1937,3343.62,28.5,6056,4.448,0.975,15.318
FALSE POSITIVE,322.48381,0.938,22.99,1.02E+03,3.5,0.911,259,1.06,27,5968,4.534,0.881,14.76
CANDIDATE,61.083322,0.649,10.396,2.28E+02,1.61,0.3082,465,11.01,11.5,5803,4.444,1.015,14.748
CANDIDATE,3.5944891,0.041,2.557,8.99E+01,0.98,0.0447,1178,455.99,10.4,5523,4.364,1.046,15.033
FALSE POSITIVE,0.739404894,0.077,1.753,2.47E+02,0.94,0.0136,1256,589.06,21,4205,4.635,0.624,15.962
CANDIDATE,4.8608059,0.374,1.966,2.52E+02,1.21,0.0529,925,172.76,8.9,5541,4.6,0.757,15.933
CANDIDATE,4.04481159,0.393,2.479,3.30E+01,0.67,0.0511,1325,729.15,7.5,6358,4.359,1.141,13.778
FALSE POSITIVE,25.94964132,0.945,11.6411,6.78E+01,2.06,0.172,753,76.14,7.6,5109,3.873,1.922,13.956
FALSE POSITIVE,1.71051215,0.057,1.284,4.22E+01,1.04,0.027,2004,3820.16,11.2,5925,3.989,1.589,13.095
CONFIRMED,62.869463,0.954,6.842,3.42E+02,1.96,0.2829,349,3.51,16.2,4762,4.535,0.781,14.591
FALSE POSITIVE,84.8062818,1.265,9.0006,9.94E+03,36.51,0.3635,388,5.33,121.6,5735,4.525,0.853,15.808
CONFIRMED,29.9632816,0.855,2.6,8.93E+02,2.24,0.1614,391,5.55,17.7,4463,4.623,0.638,15.947
FALSE POSITIVE,17.99643716,1.122,4.164,3.69E+04,30.08,0.1167,468,11.31,123.5,4438,4.606,0.666,14.845
CONFIRMED,11.63486009,0.053,5.466,2.92E+02,2.61,0.1011,961,201.96,18.4,5570,4.066,1.548,15.035
CANDIDATE,4.8302364,0.316,7.983,2.25E+01,1.06,0.0536,1453,1052.42,11.6,5086,3.678,2.247,11.994
CANDIDATE,56.446465,0.874,7.371,1.48E+02,1.57,0.2871,522,17.5,12.4,5995,4.337,1.117,14.046
CANDIDATE,31.4202111,0.075,4.021,3.91E+02,1.45,0.1824,471,11.6,10.6,5269,4.603,0.748,15.809
CONFIRMED,10.8118317,0.896,2.627,7.68E+01,1.24,0.0994,922,170.74,9.5,6025,4.331,1.196,13.385
CANDIDATE,5.56676609,0.392,1.812,1.74E+02,1.12,0.0574,859,128.51,12,5032,4.479,0.859,15.223
FALSE POSITIVE,1.208528832,0.039,1.336,1.81E+02,1.25,0.0223,1725,2084.15,10.6,6072,4.51,0.923,15.912
FALSE POSITIVE,208.1871179,0.321,2.5404,3.95E+02,1.99,0.6889,307,2.1,4.2,5780,4.438,1,12.793
FALSE POSITIVE,0.93198504,1.19,2.0472,3.27E+02,17.72,0.0167,1647,1734.47,44.5,5470,4.509,0.777,14.477
FALSE POSITIVE,0.60818508,1.835,0.909,1.45E+02,96.03,0.0137,2298,6637.9,18.9,5981,4.372,1.043,14.538
CANDIDATE,5.38613715,0.197,1.943,1.69E+02,0.86,0.0542,846,121.37,8.9,5516,4.669,0.656,15.347
CANDIDATE,13.2965044,0.902,5.68,1.33E+02,0.88,0.0948,488,13.42,9.1,4352,4.671,0.613,15.073
CANDIDATE,21.8420304,0.208,3.843,7.95E+01,2.01,0.1622,1016,251.46,9.5,6194,3.813,2.241,13.547
FALSE POSITIVE,1.65320144,0.148,1.525,1.32E+02,0.74,0.0237,1059,296.8,6.7,4544,4.609,0.661,15.762
FALSE POSITIVE,3.37487541,0.389,3.085,5.38E+01,0.75,0.0451,1287,649.96,8.3,6181,4.464,1.006,13.858
FALSE POSITIVE,0.962825082,0.088,2.8464,1.18E+02,5.18,0.0216,3265,26811.24,40.7,4898,3.212,4.928,12.173
FALSE POSITIVE,309.494217,0.0542,13.716,2.92E+02,2.79,0.9402,399,6.01,14.5,6908,4.085,1.614,12.512
CANDIDATE,0.876850385,0.049,1.534,5.92E+01,1.35,0.0197,2543,9858.55,9.7,6102,4.069,1.756,14.878
FALSE POSITIVE,24.2382519,0.82,2.703,4.66E+02,2.19,0.1642,597,29.92,11.3,5763,4.527,0.904,15.752
FALSE POSITIVE,24.2416103,0.069,5.137,3.23E+02,1.61,0.1642,596,29.92,10.8,5763,4.527,0.904,15.752
CANDIDATE,413.51856,0.019,10.395,3.91E+02,1.96,1.0911,254,0.98,7.9,6031,4.45,0.992,15.106
CANDIDATE,20.7106368,0.604,2.693,1.43E+02,1.12,0.1421,626,36.18,11,5631,4.478,0.901,14.18
FALSE POSITIVE,69.3788597,0.539,3.807,5.30E+02,2.07,0.3241,421,7.4,16.8,5806,4.529,0.874,14.854
CONFIRMED,29.3493852,0.75,4.313,6.59E+02,2.02,0.1715,451,9.81,20.3,4987,4.613,0.722,15.689
CANDIDATE,3.43633133,0.114,0.675,4.74E+02,1.44,0.0384,945,188.22,14.5,5201,4.616,0.651,15.71
FALSE POSITIVE,449.57274,0.2059,9.328,2.21E+02,3.08,1.1848,333,2.89,14.1,5691,3.842,2.079,13.679
FALSE POSITIVE,245.059374,0.0927,9.549,1.65E+02,1.63,0.7065,356,3.81,15.1,6036,4.127,1.265,12.854
CANDIDATE,142.703888,0.062,5.808,2.26E+02,1.95,0.5812,440,8.88,11,6701,4.326,1.289,13.964
CANDIDATE,3.38080537,0.067,3.275,2.01E+02,1.69,0.0461,1362,814.73,11.6,6072,4.343,1.193,15.514
CANDIDATE,10.4716194,0.184,4.512,1.24E+02,1.74,0.0966,1035,271.12,11.7,5812,4.083,1.574,14.486
CONFIRMED,11.49500229,0.911,7.602,5.14E+01,1.53,0.1038,1105,351.79,22.9,6033,3.985,1.788,12.014
FALSE POSITIVE,0.708726708,0.28,0.753,3.14E+02,0.92,0.0125,1302,684.35,13.4,4607,4.733,0.515,15.986
FALSE POSITIVE,283.72675,0.3461,15.49,8.46E+01,1.18,0.8865,341,3.2,9.3,6496,4.301,1.257,12.768
FALSE POSITIVE,373.60683,0.588,8.752,5.35E+02,2.5,1.0494,271,1.28,9.3,6184,4.448,1.038,15.256
CANDIDATE,6.78788113,0.022,2.26,7.31E+01,2.44,0.0835,1679,1875.92,7.8,6537,3.76,2.829,13.36
CANDIDATE,5.47455167,0.931,3.71,7.32E+01,1.4,0.0603,1155,419.95,10.8,5611,4.19,1.312,14.211
CANDIDATE,3.43861067,0.629,1.264,4.68E+01,1.01,0.0435,1348,779.48,9.5,5383,4.112,1.401,12.192
CANDIDATE,4.8754765,0.084,1.902,3.96E+01,0.8,0.0546,1180,458.62,8.8,5513,4.179,1.286,12.207
FALSE POSITIVE,4.29388808,0.272,3.618,1.11E+02,1.68,0.0571,1532,1302.16,17.9,6615,4.173,1.574,12.209
FALSE POSITIVE,13.5437884,1.269,5.7076,6.61E+03,32.21,0.1066,658,44.22,114.4,5463,4.582,0.794,15.023
CONFIRMED,65.6491001,0.038,7.298,9.84E+02,2.52,0.3094,390,5.48,20.5,5436,4.573,0.819,15.858
CONFIRMED,25.1593389,0.035,5.198,3.58E+02,1.76,0.1694,619,34.7,13.1,5973,4.506,0.935,15.759
CANDIDATE,10.5071781,0.232,2.68,2.72E+02,1.41,0.0867,737,69.76,11.1,5290,4.46,0.865,15.654
CONFIRMED,31.7787564,0.29,8.093,2.62E+02,1.5,0.1803,564,23.96,25.9,5638,4.391,0.928,14.159
CANDIDATE,5.4398033,0.136,3.256,8.55E+01,1,0.0634,1112,361.47,8.4,6108,4.43,1.08,14.829
FALSE POSITIVE,1.332568744,0.751,3.755,2.41E+01,0.58,0.0245,1941,3346.25,29.1,6620,4.411,1.081,11.834
CONFIRMED,9.0194714,0.2805,5.92,1.92E+02,1.07,0.08,789,91.74,7.2,5775,4.59,0.768,15.514
CANDIDATE,8.8493948,0.819,6.928,4.38E+01,0.82,0.0839,978,216.18,12.1,6095,4.349,1.11,13.556
CANDIDATE,51.567801,0.554,5.514,2.10E+02,1.3,0.254,433,8.3,13.5,5285,4.467,0.876,13.882
CANDIDATE,16.4491515,0.866,6.696,7.09E+01,2.75,0.1437,1036,272.9,11,5334,3.712,2.789,12.999
CANDIDATE,0.428046051,0.041,0.776,1.26E+02,0.87,0.0104,2017,3877.26,14.1,5285,4.566,0.775,15.247
FALSE POSITIVE,0.814278961,0.451,2.087,7.20E+01,0.76,0.017,1762,2284.94,13,5537,4.539,0.886,15.367
CANDIDATE,19.254536,0.806,4.754,1.86E+02,1.32,0.139,625,36.02,9.2,5668,4.545,0.868,15.23
FALSE POSITIVE,2.1890751,0.048,2.365,9.48E+01,0.87,0.0327,1399,906.2,12.6,6077,4.526,0.891,14.92
CANDIDATE,384.6961,0.5221,6.167,7.87E+02,1.78,0.8823,157,0.14,8.2,4228,4.64,0.623,15.677
FALSE POSITIVE,2.42649862,0.673,2.014,2.92E+01,0.75,0.0347,1638,1705.27,15.2,6033,4.176,1.316,12.222
FALSE POSITIVE,8.80854183,0.993,34.7564,1.75E+02,2.69,0.0853,1000,236.05,137.3,6017,4.3,1.21,12.239
FALSE POSITIVE,219.74735,0.097,22.48,1.90E+02,3.24,0.6692,427,7.82,12.7,5127,3.602,2.38,12.821
FALSE POSITIVE,19.7639874,0.489,12.319,5.13E+01,1.19,0.1489,900,155.45,13.5,6195,4.072,1.617,12.25
CONFIRMED,6.05919881,0.438,1.365,1.54E+02,1.21,0.0646,976,214.55,11.7,5734,4.462,0.962,12.253
CONFIRMED,7.5143967,0.399,4.865,3.63E+01,0.96,0.082,1199,488.52,9.8,6206,4.159,1.573,11.684
CONFIRMED,33.1981761,0.826,4.709,3.37E+02,3.21,0.2034,678,49.9,11.8,5570,4.066,1.548,15.035
CONFIRMED,5.32784157,0.116,4.696,8.72E+01,0.86,0.0548,1023,259.32,15.9,5638,4.391,0.928,14.159
CANDIDATE,71.05457555,0.061,1.9162,4.85E+03,5.91,0.3102,390,5.45,95.9,5290,4.46,0.865,14.71
CANDIDATE,20.5512722,0.946,4.639,1.91E+02,1.64,0.1416,607,32.01,20,5401,4.464,0.918,13.55
CONFIRMED,31.827649,0.785,1.639,5.20E+02,4.98,0.1939,668,47.21,16.4,4774,3.838,1.954,14.41
CANDIDATE,7.5861587,0.858,4.32,1.17E+02,1.07,0.0693,928,175.29,10.8,5934,4.444,0.871,14.84
CONFIRMED,0.824000125,0.7697,0.855,1.83E+02,0.42,0.0113,746,73.09,12.3,3396,4.991,0.28,15.896
FALSE POSITIVE,0.772152075,1.009,1.78,4.36E+01,4.44,0.0163,2966,18277.6,13.6,5951,3.787,2.08,13.308
CANDIDATE,42.04952379,0.23,2.1372,6.08E+02,1.19,0.186,303,2,5.1,4281,4.761,0.48,15.263
FALSE POSITIVE,1.08469871,0.672,4.077,1.24E+02,1.11,0.0209,1757,2247.25,16.9,5942,4.506,0.938,15.824
CANDIDATE,6.60180003,0.204,2.624,2.13E+02,1.25,0.0684,875,138.25,8.1,5591,4.559,0.86,15.414
CANDIDATE,3.19938075,0.268,1.761,7.61E+01,0.62,0.039,1026,262.08,9.8,5483,4.632,0.702,14.261
CANDIDATE,3.04185157,0.176,1.434,6.90E+01,0.71,0.04,1184,465.54,11.1,5802,4.537,0.857,14.147
FALSE POSITIVE,5.660274452,1.092,0.9077,4.14E+02,11.02,0.0572,950,192.77,26.4,5615,4.478,0.842,12.049
FALSE POSITIVE,1.23512429,0.556,4.22,1.52E+01,0.38,0.0228,1642,1722.78,15.7,5798,4.507,0.941,11.438
FALSE POSITIVE,1.381257093,0.351,1.125,9.23E+01,1.1,0.0253,1728,2110.47,11,5861,4.385,1.131,14.943
CANDIDATE,1.89873195,0.197,1.382,7.80E+01,0.93,0.031,1524,1279.95,10.2,5942,4.439,1.05,14.457
CANDIDATE,11.39110963,0.569,2.749,5.93E+02,1.9,0.0926,632,37.65,12.1,4999,4.587,0.76,15.681
CONFIRMED,2.41810158,0.016,2.144,4.68E+01,0.85,0.0368,1602,1555.96,13.4,6258,4.307,1.239,12.278
CANDIDATE,7.13044117,0.068,2.566,3.19E+01,1.18,0.082,1400,908.79,10.5,6312,3.964,2.074,12.31
CONFIRMED,33.4203001,0.789,5.307,4.37E+02,2.46,0.2015,581,27.02,8.9,5731,4.372,1.066,12.325
FALSE POSITIVE,58.3437362,1.246,22.482,1.27E+03,93.55,0.3351,779,87.03,75,5896,3.65,3.006,12.33
FALSE POSITIVE,1.070982122,0.563,1.255,4.34E+01,0.98,0.0202,2122,4811.39,9,5717,4.109,1.433,12.334
CANDIDATE,18.0939004,0.445,3.294,4.67E+02,1.91,0.133,665,46.21,11.6,5904,4.543,0.867,15.739
CANDIDATE,34.9524256,1.225,1.717,6.77E+02,21.74,0.1993,429,8.02,15.8,4921,4.591,0.779,14.767
FALSE POSITIVE,23.81578356,0.958,3.7591,4.86E+03,8.4,0.1571,560,23.2,71,5561,4.572,0.818,16.029
CONFIRMED,31.1748311,0.016,3.79,2.00E+02,1.31,0.1942,585,27.62,17,6086,4.511,0.921,13.926
FALSE POSITIVE,0.474811162,0.44,1.169,2.05E+02,1.28,0.0118,2206,5603.32,17.4,5799,4.539,0.878,15.733
CONFIRMED,47.0568476,0.027,5.2232,1.53E+03,2.84,0.2388,411,6.72,38,5288,4.613,0.74,15.549
FALSE POSITIVE,367.73299,0.0064,10.158,5.04E+02,2.1,0.9905,266,1.19,11.2,6225,4.481,0.931,14.892
CANDIDATE,15.1516409,0.173,5.105,1.92E+02,1.38,0.1201,736,69.25,11.4,5780,4.438,1,11.843
CANDIDATE,7.4213444,0.1732,2.361,3.16E+02,1.73,0.0758,953,195.23,8.7,6032,4.485,0.973,15.85
FALSE POSITIVE,0.743495989,1.144,2.255,1.73E+02,11.82,0.0146,1617,1612.65,26,5345,4.639,0.686,15.222
FALSE POSITIVE,1.405887031,0.364,1.184,2.16E+02,0.95,0.0212,1086,329.99,13.8,4440,4.618,0.653,15.643
CANDIDATE,17.7412303,0.065,4.816,1.45E+02,1.14,0.1346,684,51.69,9.2,5817,4.491,0.956,14.641
CANDIDATE,2.63527677,0.646,1.997,7.04E+01,0.76,0.0354,1136,394.32,10.7,5215,4.496,0.864,14.342
FALSE POSITIVE,1.45728997,0.749,3.582,7.13E+01,0.93,0.0261,1665,1818.19,15.5,6063,4.476,1.012,14.561
CANDIDATE,147.388124,0.005,8.781,9.09E+02,3.03,0.5661,356,3.78,15.8,6046,4.478,1.007,15.817
CANDIDATE,4.11497357,0.396,3.025,1.54E+02,1.17,0.0504,1137,395.27,9.7,6011,4.507,0.927,15.392
FALSE POSITIVE,1.245331397,0.649,2.566,3.81E+01,1.61,0.0251,2678,12115.45,26.5,6106,3.781,2.477,12.341
FALSE POSITIVE,1.52593737,0.681,1.958,1.59E+02,1.39,0.0268,1697,1963.41,9.6,6184,4.448,1.038,14.943
FALSE POSITIVE,8.21429932,0.667,3.099,7.07E+01,1.66,0.0832,1312,701.11,19.7,6277,3.951,1.869,12.344
FALSE POSITIVE,1.54945486,0.228,6.698,2.18E+01,1.34,0.0329,3006,19304.93,20.9,7382,3.838,2.804,12.374
FALSE POSITIVE,8.42943991,0.82,2.441,8.91E+01,1.19,0.0839,1029,265.39,19.7,6353,4.375,1.132,12.385
CONFIRMED,10.60052083,0.729,4.509,6.09E+01,1.09,0.0948,987,224.28,17.4,6035,4.212,1.303,12.405
FALSE POSITIVE,0.9570701,,2.75,,,,,,,,,,14.446
CONFIRMED,21.8634638,0.502,3.542,8.71E+02,2.37,0.1466,551,21.77,9.9,5383,4.587,0.789,15.965
FALSE POSITIVE,86.4392931,1.28,6.534,1.18E+03,35.31,0.3937,442,8.99,20.5,6208,4.454,1.024,14.329
CONFIRMED,63.3354719,0.029,3.651,9.83E+02,1.18,0.2279,202,0.39,13,3526,4.866,0.383,15.921
FALSE POSITIVE,14.77820911,1.258,5.395,1.08E+04,44.48,0.1219,809,101.07,123.1,6258,4.442,1.046,15.696
FALSE POSITIVE,15.60862948,1.171,6.6957,3.44E+04,39.42,0.1191,648,41.71,186,5569,4.566,0.829,15.466
FALSE POSITIVE,389.14115,0.0973,7.93,3.47E+02,1.67,1.0198,250,0.92,10.1,6043,4.505,0.894,14.534
FALSE POSITIVE,365.78863,0.1564,12.76,8.85E+02,2.21,0.9272,215,0.5,10.5,5407,4.585,0.752,15.964
FALSE POSITIVE,2.4826619,0.731,2.115,3.70E+01,0.8,0.0367,1619,1627.36,10,6356,4.292,1.225,13.505
FALSE POSITIVE,2.17811908,0.3437,1.468,7.40E+01,0.8,0.0328,1412,938.51,9.8,6039,4.505,0.921,14.555
FALSE POSITIVE,1.11205787,0.008,1.459,1.19E+02,1.02,0.0208,1799,2484.64,16.1,6098,4.488,0.932,14.935
FALSE POSITIVE,224.447413,0.4162,4.986,6.51E+02,2.05,0.6907,260,1.08,7.9,5489,4.574,0.798,15.618
CANDIDATE,7.5019743,0.442,2.582,2.48E+02,1.19,0.0678,709,59.73,9.1,4807,4.546,0.758,15.562
FALSE POSITIVE,21.8660922,0.057,2.03,3.02E+02,1.88,0.1565,730,67.15,9.2,6309,4.402,1.077,15.019
FALSE POSITIVE,5.09506,0.691,5.73,2.36E+01,2.14,0.0717,2247,6030.14,7.6,6700,3.48,4.146,12.062
CANDIDATE,29.1206519,0.195,2.89,4.16E+02,1.6,0.1766,528,18.43,9.7,5671,4.582,0.788,15.536
CONFIRMED,0.689967868,0.119,1.1688,1.23E+02,0.78,0.0141,1539,1336.82,28.7,4872,4.615,0.726,12.411
FALSE POSITIVE,1.89132292,0.709,5.607,1.60E+01,0.9,0.0376,2799,14532.55,14.8,8482,4.089,2.106,12.417
CANDIDATE,6.91261536,0.656,2.359,3.44E+01,0.64,0.0701,981,218.66,12,5761,4.383,1.044,12.419
CANDIDATE,25.8616058,0.855,7.78,1.23E+02,1.12,0.1685,613,33.37,8.5,6067,4.524,0.884,15.183
FALSE POSITIVE,0.918420801,0.656,3.533,5.67E+01,1.14,0.0191,2374,7502.5,40.3,6210,4.166,1.434,12.434
FALSE POSITIVE,0.573709256,0.69,1.4932,1.31E+02,7.05,0.0159,4415,90258.45,37.5,5261,3.13,5.769,12.436
CONFIRMED,13.8353959,0.94,4.961,8.18E+02,3.78,0.114,809,101.05,10.3,6020,4.403,1.057,15.842
CANDIDATE,18.9060921,0.004,4.125,3.76E+02,0.87,0.1088,336,3.03,11.9,3751,4.813,0.45,15.931
CANDIDATE,25.6970688,0.943,3.739,8.35E+02,3.83,0.1723,658,44.24,6.4,6020,4.403,1.057,15.842
FALSE POSITIVE,46.9434911,0.213,1.368,1.01E+02,1.57,0.2637,669,47.27,6.6,6253,4.102,1.55,13.098
CONFIRMED,19.5906103,0.529,6.745,2.97E+02,2.64,0.1456,819,106.48,24.9,5794,4.118,1.496,15.024
CONFIRMED,8.23983041,0.012,5.619,2.51E+02,2.35,0.0817,1093,338.17,29.4,5794,4.118,1.496,15.024
CANDIDATE,6.07855,0.3408,3.408,1.03E+02,1.14,0.0653,1115,365.15,10.4,6119,4.346,1.114,14.458
FALSE POSITIVE,427.65334,0.4355,11.17,1.57E+02,1.97,1.0738,284,1.53,7.2,5325,4.004,1.565,13.776
FALSE POSITIVE,412.041857,0.1068,5.572,1.96E+03,3.77,1.0794,217,0.52,12.3,5485,4.556,0.867,15.403
CANDIDATE,2.131660527,0.036,1.8585,3.22E+01,0.56,0.0321,1438,1010.45,15.7,5849,4.426,0.997,11.893
CANDIDATE,5.75902182,0.329,2.687,7.08E+01,0.91,0.0654,1112,362.12,9.9,6247,4.433,1.066,14.199
CANDIDATE,0.903763067,0.0938,0.562,2.68E+02,1.08,0.0158,1254,585.15,12.6,4430,4.616,0.651,15.697
FALSE POSITIVE,0.9628348,0.309,2.259,9.28E+01,0.81,0.0186,1648,1734.83,7.6,5559,4.554,0.838,15.466
CANDIDATE,5.66494448,0.4638,4.173,4.60E+01,0.78,0.0593,1134,390.59,11.4,5888,4.269,1.13,13.221
FALSE POSITIVE,1.57017249,0.085,2.257,1.58E+02,0.82,0.0238,1232,543.06,10.2,5300,4.66,0.66,15.981
FALSE POSITIVE,0.566798364,0.487,3.172,3.86E+01,0.66,0.0135,2272,6280.34,14.1,5864,4.411,1.04,14.895
FALSE POSITIVE,3.22452656,0.0995,5.156,5.75E+01,24.48,0.0421,4883,134353.84,24.3,3857,1.338,34.674,12.474
FALSE POSITIVE,1.89127438,0.514,4.491,3.23E+01,2.03,0.0378,3342,29488.85,24.6,7919,3.663,3.46,12.481
FALSE POSITIVE,1.33256944,0.456,3.89,2.06E+01,0.46,0.0236,1624,1636.72,18.8,5655,4.431,0.998,12.496
CONFIRMED,66.6504521,0.433,5.744,5.37E+02,1.56,0.2875,308,2.14,27.1,4550,4.627,0.679,14.352
FALSE POSITIVE,55.7002642,0.2976,4.285,3.33E+02,1.18,0.2492,309,2.14,10.8,4267,4.608,0.67,14.807
CONFIRMED,3.54553077,0.143,4.143,1.19E+02,1.62,0.0466,1448,1039.47,18.1,5794,4.118,1.496,15.024
CANDIDATE,85.0624157,0.819,4.6964,4.19E+04,21.26,0.369,355,3.74,495.3,5223,4.52,0.875,15.954
FALSE POSITIVE,10.88241656,1.199,5.4674,1.66E+04,29.69,0.0851,632,37.81,265.2,4946,4.57,0.715,14.874
FALSE POSITIVE,25.19830439,1.069,5.1942,7.38E+04,46.14,0.1668,604,31.54,1669.4,5955,4.534,0.883,15.94
CANDIDATE,14.3196417,0.533,3.781,2.16E+02,2.06,0.1144,850,123.37,12.5,5562,4.151,1.373,15.076
FALSE POSITIVE,0.50727675,0.429,2.32,2.15E+02,1.7,0.0132,2449,8524.12,33.5,5970,4.399,1.143,13.639
CANDIDATE,5.2736268,0.595,5.291,8.61E+01,0.89,0.0595,1014,249.68,8.7,5851,4.515,0.918,15.374
CANDIDATE,24.5041103,0.178,6.065,1.20E+02,1.03,0.1568,574,25.59,11.3,5250,4.404,0.962,14.375
FALSE POSITIVE,1.316398648,0.392,1.169,1.83E+02,1.09,0.0215,1374,842.93,13.1,5088,4.508,0.806,15.797
FALSE POSITIVE,419.4596,0.0167,13.53,1.32E+02,2.1,1.0899,303,2,8.4,5248,3.886,1.869,13.846
CANDIDATE,9.97202023,0.401,1.425,3.30E+02,1.26,0.0797,627,36.53,8.6,4810,4.584,0.696,15.693
FALSE POSITIVE,14.2005007,1.106,5.232,8.06E+01,13.28,0.1169,843,119.41,10.6,6332,4.406,1.065,13.594
FALSE POSITIVE,1.318347743,0.427,0.871,1.13E+02,1.23,0.0238,1861,2827.4,10.6,6143,4.351,1.121,14.942
FALSE POSITIVE,5.5834987,0.7862,2.484,8.74E+01,1.41,0.0655,1317,711.41,11.8,6517,4.241,1.375,13.663
FALSE POSITIVE,1.12401084,0.297,3.052,4.36E+01,0.61,0.0212,1719,2058.79,10,5941,4.519,0.911,14.665
FALSE POSITIVE,1.21374652,0.57,3.371,2.89E+01,0.59,0.0225,1880,2945.61,17.4,6238,4.407,1.049,12.107
CONFIRMED,5.24970432,0.248,2.746,6.19E+01,0.67,0.0558,954,195.3,13.9,5528,4.499,0.853,13.404
FALSE POSITIVE,45.4333769,0.959,6.351,9.06E+02,2.23,0.2088,315,2.34,18.1,4371,4.712,0.559,15.773
CANDIDATE,40.3511707,0.079,3.97,5.34E+02,1.88,0.223,479,12.46,11.3,5665,4.568,0.82,15.676
CANDIDATE,72.9332762,0.106,3.829,7.70E+02,2.45,0.3271,389,5.44,11.3,5316,4.47,0.902,15.679
CONFIRMED,56.6746666,0.626,5.516,8.83E+02,4.01,0.2836,522,17.59,22.7,5541,4.189,1.295,14.682
FALSE POSITIVE,63.9005941,1.194,8.2789,1.71E+04,25.91,0.2677,353,3.68,110.8,5204,4.63,0.634,15.426
CANDIDATE,12.6878176,0.921,4.262,2.93E+02,2.16,0.1101,851,123.89,13.5,6258,4.442,1.046,15.813
CANDIDATE,483.36405,0.614,15.61,2.85E+02,1.27,1.1172,202,0.39,8.3,5700,4.626,0.718,14.861
CONFIRMED,16.2951259,0.494,3.678,1.98E+02,1.15,0.116,574,25.59,13,4915,4.512,0.812,15.061
FALSE POSITIVE,18.17304501,0.674,10.9113,6.99E+04,24.39,0.1332,650,42.19,1820.5,5799,4.548,0.86,15.927
FALSE POSITIVE,14.12678065,1.254,5.9303,7.65E+03,31.13,0.1088,670,47.56,127.1,5656,4.583,0.784,15.91
FALSE POSITIVE,358.56462,0.4108,11.64,1.70E+02,0.99,0.8778,219,0.55,9.6,5375,4.531,0.752,13.542
CANDIDATE,12.0729757,0.312,3.783,9.95E+01,1.69,0.1046,969,208.13,9.7,5436,3.993,1.707,14.216
FALSE POSITIVE,1.337561836,0.055,1.575,4.10E+01,1.11,0.0254,2322,6870.94,9.5,6406,4.056,1.715,14.217
FALSE POSITIVE,2.23755641,0.182,2.089,1.01E+02,0.93,0.0335,1397,897.8,7.3,6026,4.505,0.924,15.578
CANDIDATE,82.401274,0.703,6.48,4.31E+02,2.21,0.3806,421,7.42,10.1,5886,4.472,1,15.202
CANDIDATE,11.91256675,0.174,6.126,1.23E+02,2.61,0.1183,1242,562.27,27.8,6337,3.893,2.335,11.915
CANDIDATE,4.08197713,0.328,2.943,2.62E+01,0.6,0.0511,1372,836.88,9.3,6538,4.339,1.156,13.05
FALSE POSITIVE,1.035268597,0.3845,0.5663,1.12E+02,1.34,0.0206,2136,4922.79,15.1,6332,4.311,1.205,13.866
FALSE POSITIVE,359.3259,0.2279,9.836,2.46E+02,3.6,1.1329,410,6.69,13.5,6570,3.902,2.27,13.274
FALSE POSITIVE,0.566805268,0.069,3.721,3.57E+01,0.65,0.014,2492,9052.02,12.5,6403,4.418,1.086,15.061
CANDIDATE,0.912179022,0.038,1.332,1.45E+02,0.65,0.0155,1025,260.05,10.3,3880,4.722,0.555,15.783
CONFIRMED,12.27057043,0.026,3.002,2.96E+02,1.67,0.1058,811,102.25,18.7,6075,4.486,0.969,14.411
CONFIRMED,13.2274753,0.803,6.356,2.30E+02,1.94,0.1176,867,133.34,16.4,6269,4.405,1.155,15.05
CANDIDATE,76.87935893,0.864,2.3819,2.13E+04,7.71,0.2746,202,0.4,131,3638,4.828,0.436,15.949
