koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_sma,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
CONFIRMED,23.9800854,0.95,5.351,1.04E+02,1.31,0.1602,649,41.94,17.1,5854,4.406,1.012,12.882
CONFIRMED,7.82502168,0.708,2.186,5.21E+02,1.2,0.0614,494,14.05,15.9,3950,4.754,0.493,15.954
CONFIRMED,3.895936525,0.524,2.3111,8.54E+03,7.34,0.046,1005,241.62,370.8,5557,4.592,0.774,15.725
CONFIRMED,22.36646466,0.4,5.228,9.87E+02,2.32,0.1449,536,19.45,32.1,5395,4.615,0.734,15.583
CONFIRMED,1.625522174,0.076,2.38963,7.97E+03,9.73,0.0265,1579,1467.41,799.7,5539,4.322,1.106,15.001
CANDIDATE,19.62034692,0.458,2.0038,2.17E+04,13.6,0.1389,643,40.39,340.5,5710,4.492,0.905,15.562
FALSE POSITIVE,7.544039,1.175,6.222,3.23E+02,17.47,0.0731,838,116.46,14.2,5657,4.567,0.824,15.559
CONFIRMED,9.02930689,0.024,3.1449,1.02E+03,2.57,0.0796,757,77.75,53.9,5349,4.526,0.82,15.387
FALSE POSITIVE,10.32803571,0.281,7.7915,1.69E+04,13.28,0.0888,843,119.31,636.8,5627,4.359,1.024,15.646
CONFIRMED,143.2063047,0.379,8.9302,1.06E+04,8.9,0.5336,308,2.14,138.8,5485,4.556,0.867,15.403
CONFIRMED,6.164876,0.646,3.262,5.58E+01,0.79,0.0648,1021,256.35,14.4,5854,4.406,1.012,12.882
CONFIRMED,60.32494216,0.224,6.6188,2.03E+04,12.19,0.2998,411,6.77,347.2,5485,4.556,0.867,15.403
CONFIRMED,29.1598615,0.3619,4.803,4.88E+02,1.91,0.1847,524,17.85,11.6,5485,4.556,0.867,15.403
FALSE POSITIVE,1.540397253,1.225,2.1541,8.16E+02,25.69,0.0264,1470,1105.68,38.8,5663,4.53,0.915,15.974
FALSE POSITIVE,2.99025443,0.014,5.414,5.89E+02,1.7,0.0367,918,168.45,48.5,4667,4.578,0.731,15.842
CONFIRMED,1.594745374,0.514,1.9604,1.50E+04,11.3,0.0258,1539,1329.42,1009.3,5934,4.491,0.893,15.53
CONFIRMED,4.783002698,0.003,2.335,1.01E+03,2.5,0.0535,886,145.48,70.6,5170,4.574,0.807,15.119
CONFIRMED,20.50588921,0.26,4.0595,2.11E+03,3.41,0.1326,518,17.06,78.5,4905,4.544,0.761,15.398
CONFIRMED,3.340218842,0.466,1.9104,1.63E+03,2.03,0.0348,656,43.73,71.6,3950,4.754,0.493,15.954
FALSE POSITIVE,2.507089906,1.255,2.0067,1.34E+03,30.26,0.0365,1326,730.47,64.9,5926,4.506,0.939,15.555
CONFIRMED,18.64932728,0.08,4.4056,8.94E+02,3.12,0.139,701,57.13,46.1,5775,4.405,1.053,15.386
CONFIRMED,4.90144976,0.529,4.1654,1.41E+02,1.7,0.0586,1262,598.74,50.6,5847,4.191,1.402,12.487
CONFIRMED,9.75192101,0.949,4.793,4.18E+02,2.76,0.0902,870,135.66,28.5,5775,4.405,1.053,15.386
CONFIRMED,38.5576546,0.911,5.794,9.93E+02,4.02,0.2255,550,21.71,39.7,5775,4.405,1.053,15.386
CONFIRMED,3.525632539,0.12,2.59959,2.23E+04,11.58,0.0431,975,213.12,1996.7,5150,4.572,0.793,15.224
CANDIDATE,34.84398644,0.934,2.9315,4.52E+03,7.61,0.1971,511,16.1,76.8,5509,4.482,0.871,15.684
CONFIRMED,7.748094239,0.517,3.5957,2.47E+03,5.52,0.081,964,204.39,113.2,5973,4.439,1.085,15.67
CONFIRMED,23.96793669,0.416,3.827,1.18E+03,1.8,0.1322,329,2.77,27.5,3747,4.728,0.524,15.414
CONFIRMED,8.29561738,0.888,1.3421,8.24E+02,1.82,0.0652,469,11.39,17.9,3747,4.728,0.524,15.414
CONFIRMED,8.11437482,0.573,2.2736,1.56E+03,2.1,0.0649,460,10.55,56.4,3692,4.753,0.517,15.877
FALSE POSITIVE,38.03672948,0.501,4.34617,8.29E+04,27.5,0.2252,500,14.81,1300,5575,4.521,0.932,15.472
CANDIDATE,4.64090031,1.28,35.512,2.45E+03,30.09,0.0503,1155,421.08,296.9,6463,4.5,0.826,15.27
FALSE POSITIVE,3.747838198,1.121,5.0642,6.16E+02,13.65,0.046,1031,266.76,138.2,5514,4.569,0.826,13.496
CONFIRMED,14.74914825,0.173,6.0995,4.30E+02,2.89,0.1221,874,137.91,107.4,5847,4.191,1.402,12.487
CONFIRMED,21.81295996,0.053,4.3791,1.18E+03,3.38,0.1495,639,39.33,37.8,5601,4.41,0.999,15.54
FALSE POSITIVE,7.91936937,0.733,3.3148,1.51E+04,10.34,0.0737,814,104,389,5690,4.588,0.776,15.805
CANDIDATE,1.028436523,1.5734,1.8606,8.10E+03,72.77,0.0197,1947,3400.48,89.6,6228,4.428,0.99,15.202
CONFIRMED,15.37562369,0.692,3.3169,1.53E+04,11.01,0.1121,600,30.54,166,4986,4.496,0.833,16.422
CONFIRMED,8.10363271,0.047,3.161,8.88E+02,2.11,0.0712,687,52.82,39.3,4861,4.574,0.732,15.289
